,artist_name,track_name,track_id,popularity,year,genre,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
26555,Void,Ignorant People,1lnmIg3VyfQ50nP5R2mlvL,20,2011,punk,43488,0.000411,0.312,76693,0.711,0.875,1,0.0534,-8.066,1,0.0451,117.059,3,0.492
153391,Robyn Hitchcock,The Devil's Radio,6Q9gS0Hzqbs5beHwHGcWr1,0,2020,country,242143,0.427,0.558,240853,0.376,0.00103,9,0.111,-13.181,1,0.0431,115.363,4,0.599
23763,Mocean Worker,Shooby Shooby Do Yah! - (featuring Steven Bernstein),2VslGYoXJlQ4lLdODQ9Ln0,12,2011,jazz,37384,0.0481,0.759,189200,0.972,0.861,1,0.0346,-7.878,1,0.0371,122.013,4,0.932
73955,Tim Dugger,Beer On A Boat,1tKHUKaXjgV5jCEh9CSwFA,29,2015,country,122768,0.0901,0.73,194014,0.787,0,8,0.152,-6.677,1,0.0284,116.949,4,0.795
113924,Galactic Empire,The Asteroid Field,6EGAirObpHSMvvkQyOSLjk,26,2017,metal,182624,2.12E-05,0.18,247582,0.969,0.885,0,0.338,-4.8,1,0.213,169.856,4,0.12
61464,Ashanti,Early In The Morning (feat. French Montana),5FsUQjIUqjbldpGOaCeYe1,28,2014,dance,101807,0.174,0.685,247604,0.647,0,10,0.165,-8.784,1,0.0357,125.072,4,0.596
93991,Smile Empty Soul,California's Lonely (Acoustic Version),5ZKN0lqSkcBxwdM5sLHaB5,14,2016,grunge,152593,0.584,0.451,194013,0.461,0.0181,8,0.124,-8.687,0,0.0363,206.284,4,0.474
61392,Omarion,Love & Other Drugs,5qK76FFi58gF8E0rJW8zbO,33,2014,dance,101716,0.0139,0.488,186141,0.696,1.07E-05,11,0.0967,-6.068,1,0.0383,147.978,4,0.48
70258,$uicideBoy$,nm jc,7cyBGE1p6xTLTN773t0sul,43,2014,rap,116479,0.764,0.932,98899,0.705,0.024,11,0.108,-7.835,0,0.193,118.996,4,0.528
74922,Halsey,New Americana,6Xs7OKt6i0Ddq8B4M5Dgvr,64,2015,dance,123809,0.0113,0.339,183808,0.707,0,0,0.337,-5.121,0,0.0428,173.993,4,0.359
87612,Rains,Heartless (Radio Edit),5fYqlC0AsOdN5y2IMABqw0,36,2016,alternative,144698,0.000218,0.355,284036,0.712,5.55E-06,1,0.0805,-4.127,0,0.037,139.978,4,0.418
56919,Sturgill Simpson,Panbowl - Bonus Track,67Nplzu0xrOz1BD56gx8ho,43,2014,alternative,96246,0.76,0.606,182373,0.321,0.00112,2,0.095,-9.533,1,0.0295,91.327,4,0.502
23350,Benny Sings,This Is a Samba,5DkLTSzdf2T0jrTFo3DLcX,15,2011,jazz,36961,0.804,0.879,142133,0.249,0.0172,0,0.0983,-11.414,1,0.0512,109.345,4,0.364
111390,Aldo Romano,Song for Ellis,4Uecyf82f85MdvnGLA4SWE,49,2017,jazz,179271,0.974,0.401,265527,0.209,0.853,1,0.0905,-17.161,0,0.0308,72.415,3,0.075
67753,ZZ Top,Viva Las Vegas,5gj6dyggKwXg4llFDK3jTh,22,2014,metal,111213,0.00439,0.595,242987,0.893,0.000395,8,0.404,-10.996,1,0.0558,120.025,4,0.693
150569,Young Thug,Pussy,5ZzQZcpwW7IyhKopLuoiwn,50,2019,rap,237138,0.00161,0.808,141493,0.756,9.26E-05,5,0.226,-7.429,0,0.214,74.999,4,0.631
39256,Lindsey Stirling,Stars Align,3YhO0NPxDnbLT2LswPaQPG,42,2012,pop,64930,0.000513,0.614,292429,0.789,0.895,5,0.259,-6.206,1,0.039,126.984,4,0.241
62745,Old Crow Medicine Show,Shit Creek,5eTzvIW24P10tMECx7xsYK,22,2014,folk,103403,0.318,0.568,204680,0.941,3.83E-05,0,0.144,-4.291,1,0.0392,140.091,4,0.815
90413,Charlie Puth,Up All Night,2Y1LWNrO3Ls6tK9LZVehXk,38,2016,dance,147939,0.551,0.647,190107,0.648,0,0,0.192,-4.957,1,0.0314,81.892,4,0.474
115305,Future,You Da Baddest,4AFgK4wP1iD5i8BYaLr9Vf,57,2017,pop,184929,0.109,0.807,242933,0.736,0.00729,7,0.104,-6.748,1,0.151,154.023,4,0.54
27583,Sublime With Rome,Same Old Situation,2FTdkvjYPt6IpoSLsPyZui,38,2011,rock,46651,0.0201,0.833,224827,0.577,1.02E-06,9,0.095,-6.389,1,0.0794,95.016,4,0.874
44985,Willie Nelson,Bloody Mary Morning (feat. Wynonna Judd),6APx6RcFYBnDP3LXmC3Mg2,23,2013,country,75410,0.289,0.64,185760,0.567,3.61E-05,7,0.122,-9.123,1,0.0357,139.948,4,0.846
12782,ESG,Get Funky,75OVPpA4yV4YlGkKDFYBZW,19,2010,punk,19919,0.0176,0.545,157360,0.677,0.656,4,0.115,-12.016,1,0.197,133.464,4,0.698
114905,Lil Skies,Signs of Jealousy,5EIIvtMRH9qyf5wIyEfT8l,58,2017,pop,184164,0.39,0.743,178132,0.76,0,0,0.176,-8.484,1,0.106,142.027,4,0.787
58916,Kenny Chesney,Rock Bottom,33fdicR6v63mdMezyG87ht,34,2014,country,98435,0.000232,0.47,221040,0.826,0.000759,0,0.32,-4.152,1,0.0355,157.994,4,0.4
33850,Dirty Projectors,Maybe That Was It,1bSRvwiCpfigxBVMSghx9c,21,2012,folk,55368,0.00787,0.31,236693,0.529,0.00186,0,0.101,-4.749,0,0.0328,131.982,4,0.151
135303,Khalid,Talk - Alle Farben Remix,06BrHnTVDOydsfg0LZ6mQb,55,2019,alternative,215844,0.131,0.638,167990,0.818,1.78E-05,9,0.107,-4.517,0,0.05,126.015,4,0.489
33981,WHY?,Bitter Thoughts,6e8GmSoWNSccBtDsmCVaXi,19,2012,folk,55533,0.139,0.56,167915,0.737,0,7,0.192,-7.079,1,0.219,113.198,3,0.575
101839,Dirty Heads,Red Lights,3wUAFiguLczA83r1scrQFm,47,2016,rock,165662,0.0568,0.69,213356,0.718,0,7,0.144,-5.581,0,0.0861,156.051,4,0.725
104934,Kenny Chesney,Jesus and Elvis,3sdiDU9CIyic6Ts2HO2ucD,33,2017,country,170223,0.337,0.535,246640,0.508,0,8,0.0821,-7.822,1,0.0272,75.984,4,0.393
11485,Marianas Trench,Masterpiece Theatre III,6BBuny7qOcQ1HEWLVABgHI,42,2010,pop,16932,0.0579,0.409,403253,0.791,0,7,0.169,-5.975,1,0.0639,143.985,4,0.251
146025,Liturgy,GOD OF LOVE,5TwGBk0aK6R7353qf2itiz,33,2019,metal,230135,4.20E-05,0.176,489667,0.886,0.958,4,0.151,-5.066,0,0.107,130.845,3,0.0675
65107,Jake Kaufman,In the Halls of the Usurper (Pridemoor Keep),1iOFWMIWh7KDSV78zLlTGU,36,2014,indie,107461,0.0222,0.468,214085,0.996,0.933,1,0.291,-3.039,0,0.0451,149.918,4,0.747
133164,Pardison Fontaine,Backin' It Up (feat. Cardi B),0PpfPNtQOOvbMNVJijTQj0,66,2018,rap,211461,0.0886,0.796,190466,0.68,0,10,0.268,-4.853,0,0.353,164.932,4,0.565
74262,Diamond Rio,In a Week or Two,6mVYXNESuRWd4RD3OLMgRZ,23,2015,country,123113,0.562,0.619,179787,0.353,0,2,0.105,-10.773,1,0.0303,145.203,4,0.321
75423,Ne-Yo,Religious,7ciJMAvEYpSPW40vZMsSOQ,38,2015,dance,124445,0.216,0.336,229285,0.668,0,0,0.363,-6.7,1,0.0738,82.422,3,0.434
38858,Circus Maximus,Last Goodbye,0sadbzXUzpwbE8TCZ9nSAy,29,2012,metal,63912,0.0251,0.519,599453,0.621,0.42,5,0.118,-7.057,1,0.027,135.033,1,0.122
118913,The Decemberists,Severed,38psZM2gA6UWA7rqqgOjGL,52,2018,alternative,191821,0.00219,0.605,243800,0.789,0.0178,4,0.127,-7.035,0,0.0338,136.041,4,0.434
36228,Hannah Georgas,Robotic,7LGG0FzkVqmudgIitiD8fc,24,2012,indie,59914,0.0143,0.531,238373,0.884,0.299,7,0.111,-4.756,1,0.0419,136.957,4,0.403
114015,Voyager,Misery is Only Company,0nUs8P0eYvSLnbXYU2Ph9j,29,2017,metal,182747,7.03E-05,0.485,301600,0.957,0.0211,9,0.127,-4.358,1,0.108,93.494,4,0.408
84765,Harms Way,Left to Disintegrate,0bWHFjb2OJxHQ4ufCCAOyd,21,2015,punk,139049,2.45E-05,0.338,266520,0.911,0.323,6,0.11,-5.525,1,0.105,146.077,3,0.085
78522,Failure,Segue 9,5cRCzZTGqiZO0dm3qHy1D3,10,2015,grunge,128742,0.703,0.184,247168,0.519,0.864,4,0.125,-16.522,1,0.143,80.037,4,0.107
92008,King Charles,Find a Way,0vud1aGRNlwzuVGE3AfWzs,43,2016,folk,149954,0.193,0.697,236791,0.772,2.68E-06,8,0.0846,-5.27,1,0.0356,119.966,4,0.71
52052,Intronaut,The Way Down,7Lx92zKOQ9YTSuj5VtHC2j,19,2013,jazz,85301,0.0198,0.275,537787,0.933,0.654,11,0.102,-10.599,0,0.383,77.269,4,0.0953
140593,Yola,Deep Blue Dream,7KhAxE8UM8rLQWdwWgnues,38,2019,folk,222050,0.822,0.352,133490,0.366,5.85E-06,9,0.124,-7.701,1,0.0301,114.299,3,0.235
60155,Michael Ray,Think a Little Less,6FvMnqZ47ehllgMsaqYwOs,16,2014,country,99873,0.124,0.521,176987,0.805,0.000219,9,0.33,-4.481,1,0.0289,141.967,4,0.527
26242,Automatic Loveletter,Black Ink Revenge,0yqmjUR11ZQpsWsEZYlq3T,28,2011,punk,42933,0.524,0.547,271880,0.519,0,4,0.167,-6.129,1,0.0283,81.982,4,0.267
54675,The Garden,Estamos Aqui,3AtUJwSKlxNo12A4rG3BON,27,2013,punk,90751,0.748,0.439,114077,0.454,0.917,1,0.355,-17.792,1,0.039,164.139,4,0.0546
141214,BANNERS,Wild Love,2bpnrLxidGZzuvcgQTW7s4,39,2019,folk,222752,0.00414,0.663,191213,0.622,0,1,0.071,-5.988,1,0.0461,120.03,4,0.562
52996,Power Trip,Power Trip,0Extl0cMMKTqlSoCGp1KhS,28,2013,metal,86907,6.23E-06,0.21,232736,0.97,0.0138,4,0.206,-4.064,1,0.207,96.508,4,0.263
25122,Adele,Rumour Has It,76N7FdzCI9OsiUnzJVLY2m,64,2011,pop,40017,0.637,0.618,221427,0.753,0,7,0.0905,-5.05,0,0.0451,120.041,4,0.557
135187,GoldLink,Maniac,5uNhWDGP1gXxS2IZl2alGx,55,2019,alternative,215714,0.0674,0.812,189613,0.606,0.00245,1,0.173,-6.768,1,0.0448,132.976,4,0.0813
43920,Toby Keith,Shut up and Hold On,4LbyaKFseyaiyCCvbF1j2z,42,2013,country,74178,0.0523,0.609,175800,0.853,1.03E-05,1,0.102,-4.681,0,0.0607,167.981,4,0.733
128811,TOSHIO MATSUURA GROUP,Change,0ELRNuxbKLV8KWNg4wPAe3,18,2018,jazz,204578,0.244,0.467,459093,0.335,0.919,2,0.153,-15.098,1,0.0816,113.661,4,0.0351
83058,Yelawolf,Till It's Gone,4FxkQzIhsLAkuiqX5puvU6,64,2015,pop,135688,0.466,0.523,275547,0.714,0.00359,4,0.113,-7.552,0,0.0683,128.968,4,0.359
144540,Tal Wilkenfeld,Corner Painter,1pLA7dIHRkWZgkI6VskkML,35,2019,jazz,228157,0.214,0.256,271120,0.499,0.11,11,0.082,-11.432,1,0.0487,169.695,3,0.202
125206,S. Carey,True North,1PrY0pR2D0SgDg035Z9jVM,33,2018,folk,199129,0.572,0.289,275747,0.335,0.114,10,0.0976,-12.81,1,0.0356,66.086,3,0.195
149186,Kontravoid,Turn Away,5ilqeaRPXd1FuKYfyivYtt,30,2019,punk,234978,4.86E-06,0.515,253637,0.975,0.811,1,0.344,-5.889,0,0.0351,127.972,4,0.338
91785,The Head and the Heart,Signs of Light,13KwrXEgb4lLzd0kP8Jiqf,41,2016,folk,149693,0.266,0.27,368747,0.324,0.00362,0,0.106,-8.97,1,0.0346,162.866,4,0.0396
94099,Cold,Happens All the Time (Live),2qLuRU53Gv6A4j9I3ZHynl,10,2016,grunge,152763,2.05E-05,0.361,201576,0.898,0.934,3,0.735,-7.886,1,0.0521,82.004,4,0.265
139430,C̩line Dion,Baby,5x5TmxjilpvdOkdM2JgTeI,48,2019,dance,220587,0.177,0.647,214987,0.549,0,1,0.0917,-6.499,1,0.0302,89.964,4,0.495
132670,Frank Turner,Get It Right,3vXg8IhuUsbq3aS4XhkTR3,31,2018,punk,210817,0.886,0.621,206480,0.135,0,7,0.104,-12.672,1,0.0434,132.129,4,0.339
74742,Gary Stewart,Single Again,4OhZ1NFkZL1mFuviP9Ft9M,18,2015,country,123623,0.312,0.604,184093,0.496,0.000261,7,0.354,-9.667,1,0.0277,125.759,4,0.753
40681,The Kristet Utseende,En Manlig Brud Till Satan,4F0RbjtA6156HMc0beUaub,19,2012,punk,67783,0.0145,0.429,154333,0.905,0.000515,0,0.251,-7.312,1,0.129,90.871,4,0.356
47553,City and Colour,Death's Song,5bEkA2si3cnX6v66xOuxju,31,2013,folk,78635,0.0471,0.54,282996,0.434,0,2,0.112,-8.937,1,0.0277,130.037,4,0.0974
44120,Justin Moore,Beer,2qj7nUTu78MtV5lSsAyIeg,31,2013,country,74427,0.0518,0.527,193320,0.802,0,1,0.211,-4.583,1,0.035,151.948,4,0.69
83585,KYLE,Just A Picture (feat. Kehlani),6huAtnH0uDcctCmezdr1S8,46,2015,pop,136861,0.00513,0.842,240816,0.573,0,7,0.0415,-7.48,1,0.181,120.21,4,0.871
15263,Balance And Composure,Stonehands,7CIHNPndjospaF2krRNaJe,29,2011,alternative,25480,0.00495,0.454,265107,0.717,0.00227,7,0.0844,-6.075,1,0.0341,105.01,3,0.406
69706,Preoccupations,Static Wall,2YIco9tqD1RxnbZA4uJuPz,21,2014,punk,115354,0.0914,0.446,283360,0.633,0.0371,2,0.0897,-7.625,1,0.0333,114.535,4,0.344
22785,Afro Cuban Jazz Project,Campina,2epLYWuz0QLII6EOmLxkDj,31,2011,jazz,36375,0.643,0.614,360133,0.726,0.238,0,0.125,-9.936,0,0.0495,177.081,4,0.885
101838,The Movement,Habit 2016,5HRShZhCWaBHnD35ZgxyrK,49,2016,rock,165651,0.104,0.746,243187,0.657,2.82E-06,2,0.351,-8.349,1,0.198,80.981,4,0.72
124333,Father John Misty,We're Only People (And There's Not Much Anyone Can Do About That),4NZKrRtmwLUAI4jw8NYACR,37,2018,folk,198115,0.507,0.558,302099,0.525,0.000169,0,0.0999,-6.993,1,0.0292,122.546,4,0.384
14014,Washed Out,Amor Fati,2teUG0CMsLXoPgXNObEVm0,47,2011,alternative,24109,0.0762,0.505,266093,0.861,0.0844,9,0.309,-6.864,1,0.104,100.959,4,0.504
6556,New Medicine,Resolve to Fight,6QkekoSfJIMIenhVZwoMt8,29,2010,grunge,8411,0.00018,0.525,179680,0.875,8.32E-05,6,0.0859,-2.604,0,0.0609,82.443,4,0.563
130535,Arizona Zervas,FML,6lruHh1jF7ezgbLv72xYmf,84,2018,pop,207227,0.113,0.822,223000,0.575,0,5,0.106,-5.95,1,0.0934,100.087,4,0.616
71258,Sorority Noise,Using,5zXvIVOjU48L8TDnrnuvmg,56,2015,alternative,119775,0.217,0.741,164373,0.526,3.61E-06,1,0.185,-7.001,0,0.052,119.944,4,0.548
22557,Dave Koz,Have Yourself A Merry Little Christmas - 2001 Version,1sCQKtctqLnwn0PQYHBH6m,31,2011,jazz,36118,0.879,0.557,229107,0.36,0.925,6,0.0826,-9.956,1,0.0265,102.825,3,0.258
106510,Fabolous,Theme Music,1ffKnBrhzeWJcU3AXuxXS4,41,2017,dance,172132,0.213,0.716,193667,0.769,0,10,0.0993,-5.486,0,0.239,108.081,4,0.721
50583,Aer,Take It Wrong,3LVDYnzkxm401QbwQ6Lh8D,32,2013,indie,83447,0.0609,0.773,197694,0.512,5.23E-05,3,0.112,-3.731,1,0.0372,81.005,4,0.751
108397,John Vincent III,I Need You,4rXR5s5umPkL8xlpIcx8IC,30,2017,folk,174470,0.441,0.765,216713,0.265,0,9,0.0738,-14.858,1,0.0721,108.045,4,0.298
37017,Tito Puente,Qu̩ Bueno Baila Usted,4Xr2khMis4TjV3h5pTf7dY,21,2012,jazz,60856,0.699,0.65,256867,0.885,0.00948,5,0.163,-5.163,1,0.0681,109.472,4,0.915
139077,Christina Aguilera,Haunted Heart,7qcanNUZ2M1kfBPuzHHVgj,53,2019,dance,220121,0.539,0.501,166974,0.388,0.000837,0,0.109,-7.368,0,0.0391,179.83,3,0.392
119283,YONAKA,F.W.T.B. - grandson Remix,7GENPjwC2JICc2oCe2N2Xm,50,2018,alternative,192220,0.000761,0.507,199184,0.844,0.00652,0,0.0892,-5.184,1,0.0488,147.115,4,0.37
142885,Big Wild,Joypunks,2Ob2E0owyR8gdF0YGf0fZp,56,2019,indie,225670,0.0382,0.694,195492,0.669,0.021,7,0.0975,-5.748,1,0.0328,121.987,4,0.338
14101,Theory of a Deadman,The Truth Is... (I Lied About Everything),7qe0UUpG2whP8L5HUBSqJA,44,2011,alternative,24200,0.00561,0.511,207933,0.913,0,9,0.0766,-3.74,1,0.0637,141.041,4,0.617
21263,Unwritten Law,Let You Go,0olPbWjMLjyj2Q2QRz3ATS,8,2011,grunge,33564,0.00751,0.424,246720,0.876,5.59E-06,6,0.161,-3.558,0,0.0721,152.855,4,0.543
115437,Tonight Alive,World Away,4hRz7rOTUet8jJpXgWvoXh,52,2017,pop,185207,0.00348,0.514,232369,0.802,0,7,0.0952,-4.182,0,0.0322,90,4,0.356
67748,Kontrust,Just Propaganda,0I1S600xv0jQyamc0QIFNK,18,2014,metal,111205,0.00094,0.563,257307,0.928,0,4,0.19,-4.539,0,0.0613,94.406,4,0.698
55486,Eminem,So Far...,0nzsCN9rtXdugPoiIT49Kj,52,2013,rap,92342,0.202,0.852,317581,0.934,0,11,0.223,-3.497,0,0.365,98.016,4,0.708
108319,The Secret Sisters,Carry Me,6w6WZ9c7Z7T1KPvtZIxdZG,31,2017,folk,174385,0.547,0.56,245187,0.292,0.000246,11,0.0825,-8.481,1,0.0275,114.984,3,0.244
111956,BluntOne,New Dawn,6zS0THg6CB5QiWQCtKJQxR,33,2017,jazz,179902,0.011,0.77,150763,0.498,0.945,10,0.11,-8.201,0,0.0503,86.002,4,0.112
26,Linkin Park,Waiting for the End,1V4Bq9kYHMk9yILUp5z3o3,56,2010,alternative,26,0.0415,0.487,231680,0.961,1.15E-06,4,0.553,-4.139,1,0.132,170.005,4,0.323
126194,Soul Asylum,99% - Live,2vngnoZuIKBP5LIEoZoRRt,6,2018,grunge,200787,0.00062,0.394,229293,0.984,0,4,0.782,-6.914,1,0.11,128.562,4,0.255
143043,PJ Morton,Say So,6OLlACmD4AlW2N7CWVhVxO,53,2019,indie,225996,0.591,0.502,212973,0.409,0,0,0.113,-7.581,1,0.0512,75.231,4,0.234
17593,Hot Chelle Rae,Honestly,5YhAAlelWek228jZzxgEfr,54,2011,dance,28066,0.0268,0.641,201507,0.787,0,0,0.11,-4.271,1,0.0375,93.01,4,0.916
44981,Haystak,Winners,4REaNwfchJFyiBXscaQU13,21,2013,country,75406,0.000151,0.35,231280,0.681,0,5,0.129,-6.01,0,0.0809,148.46,4,0.138
31815,RuPaul,Peanut Butter (feat. Big Freedia),3Y3K9KOHuH3ZXsNNI2AibB,44,2012,dance,52520,0.0459,0.75,203314,0.696,0,7,0.315,-3.903,1,0.136,106.068,4,0.503
147133,j-hope,Chicken Noodle Soup (feat. Becky G),6wyr4ReB05D9sJB1Rsmcqo,73,2019,pop,231812,0.00502,0.826,235497,0.817,1.09E-05,2,0.294,-4.081,1,0.0921,97.053,4,0.168
62906,Richard Thompson,I Misunderstood,6sFDgQSKphJdpdYznrwwuF,20,2014,folk,103598,0.882,0.706,237120,0.282,0.315,0,0.0986,-11.794,0,0.0439,117.369,4,0.655
90187,Sak Noel,Trumpets (feat. Sean Paul),0Vh3WTuakZ6SSwmZqyLqGO,44,2016,dance,147640,0.00279,0.555,206400,0.746,0.000109,9,0.0418,-4.473,1,0.298,199.767,4,0.368
27743,Los Muecas,Indita Mia,2FhNbQhokbpBXfjqzOYb51,35,2011,rock,47716,0.149,0.382,171973,0.569,1.64E-05,4,0.0546,-9.398,1,0.0919,177.74,3,0.836
152854,The Jordanaires,It Is Well,23DL0uG3bB6fzOQ3vEHhE4,0,2020,country,241466,0.777,0.381,233720,0.278,3.77E-05,2,0.225,-11.883,1,0.0269,173.895,4,0.254
87570,Modern Baseball,Everyday,5r0cTg1cFPSEMzR6iiYG3k,34,2016,alternative,144650,0.000788,0.473,183520,0.84,0.00407,11,0.218,-6.262,0,0.0364,120.023,4,0.642
47532,Iron & Wine,Low Light Buddy of Mine,4iqy5WhpjvGQV0J85TTIrB,31,2013,folk,78614,0.0326,0.709,209653,0.378,0.00574,4,0.111,-11.649,0,0.0477,92.009,4,0.696
59106,Jerrod Niemann,Buzz Back Girl,4QqpHeOph5V0eXSLyEZI06,30,2014,country,98662,0.117,0.6,190333,0.809,0,0,0.13,-6.811,1,0.124,180.06,4,0.689
94809,The Band CAMINO,Free of Charge,3oWtUqMkeDjjc3As6cMiBt,46,2016,indie,153982,6.43E-05,0.443,227563,0.875,4.35E-05,5,0.225,-5.687,1,0.0763,160.88,4,0.46
144562,Nils Landgren,Maybe I'm Amazed,0VYYhGLcD6IuFvqSzI6rzu,42,2019,jazz,228181,0.916,0.458,226558,0.223,2.51E-05,0,0.101,-15.897,1,0.0322,147.22,4,0.214
77068,Wild Child,Trillo Talk,6oynZoZ42gRS6eOZpP7lZm,29,2015,folk,126617,0.289,0.728,216457,0.593,2.14E-05,0,0.195,-7.165,1,0.0388,150.95,4,0.843
97332,Every Time I Die,Map Change,6wqBUUWSTn39vEXVM67avV,47,2016,metal,157337,3.54E-05,0.232,296934,0.966,0.0267,9,0.504,-4.045,0,0.119,102.448,4,0.234
42043,Skillet,Circus for a Psycho,3AhEF2J0fy33PdGYEkzqm2,52,2013,alternative,72066,0.00424,0.519,271933,0.971,6.26E-06,7,0.651,-3.403,1,0.0977,138.059,4,0.49
151109,KALEO,I Want More,4xQRRue5qsu2tULiz7UDKi,68,2020,alternative,239270,0.26,0.546,212527,0.547,0,8,0.0575,-7.431,1,0.0318,97.968,4,0.388
19509,B.J. Thomas,I Just Can't Help Believing - Rerecorded,4RqHoLuzJEKh2VWR1JgRBB,27,2011,folk,30631,0.195,0.716,195453,0.548,0.000328,5,0.192,-8.213,1,0.0307,129.006,4,0.677
122020,Rudimental,These Days,5CLGzJsGqhCEECcpnFQA8x,77,2018,dance,195270,0.194,0.653,210773,0.809,0,0,0.165,-4.057,1,0.0474,92.213,4,0.55
110467,Rex Orange County,Sycamore Girl,3ijXR4yXgN43eF54uK7oos,56,2017,indie,177618,0.101,0.611,280333,0.386,0.000711,6,0.175,-10.716,0,0.0291,115.979,3,0.189
34698,Fozzy,Dark Passenger,22T8ydb5SthT4kH51a0Or9,19,2012,grunge,56936,0.00425,0.464,263080,0.875,0.000574,0,0.118,-5.383,0,0.0581,196.118,4,0.51
144190,Villain Park,Cold Game,6yzZEBraZumtvjbe03dS28,35,2019,jazz,227782,0.00655,0.598,222188,0.65,0,1,0.561,-4.288,1,0.454,178.751,4,0.679
63859,Red Hot Chili Peppers,Warlocks,2OjwAwyoAjI053N0ra1jlA,20,2014,grunge,105171,0.0561,0.671,205733,0.984,0,7,0.113,-2.381,1,0.0955,97.743,4,0.871
